class_year,snow_depth_guess_cm
2017,15
2017,15
2017,15
2017,16
2017,16
2017,16
2017,16
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,18
2017,18
2017,18
2017,18
2017,18
2017,19
2017,20
2017,20
2018,15
2018,16
2018,16
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,19
2018,19
2018,19
2018,19
2018,19
2018,20
2018,20
2018,20
2018,20
2018,20
2018,20
2018,20
2018,21
2019,16
2019,16
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,18
2019,18
2019,18
2019,18
2019,19
2019,19
2019,20
2019,20
2019,20
2019,20
2019,22
2019,22
2019,23
2020,15
2020,17
2020,17
2020,17
2020,17
2020,17
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,19
2020,20
2020,20
2020,20
2020,20
2021,15
2021,15
2021,15
2021,16
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,17
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,18
2021,19
2021,19
2021,19
2021,20
2021,20
2021,20
2021,20
2021,20
2021,20
2021,20
2022,16
2022,20
2022,15
2022,15
2022,19
2022,19
2022,18
2022,18
2022,18
2022,18
2022,18
2022,18
2022,18
2022,18
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2022,17
2023,15
2023,15
2023,16
2023,17
2023,17
2023,17
2023,17
2023,17
2023,17
2023,17
2023,17
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,18
2023,19
2023,20
2023,20
